titulo,parceiro,depositario,loc_celebracao,pais_celebracao,data,temas,status,n_registro_onu,vigor_int_em,expirou_em,pdf_url
Acordo sobre serviços aéreos entre a República Federativa do Brasil e o Reino dos Países Baixos,Países Baixos,NA,Brasília ,Brasil,08/07/2019,Transporte Aéreo,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29973
"Acordo sobre serviços aéreos entre a República Federativa do Brasil e o Reino dos Países Baixos, com relação a Sint Maarten.",Países Baixos,NA,Brasília ,Brasil,08/07/2019,Transporte Aéreo,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29971
Acordo entre a República Federativa do Brasil e a República da Áustria em cooperação científica e tecnológica.,Áustria,NA,Viena ,Áustria,19/06/2019,Cooperação Científica e Tecnológica,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29960
Tratado entre a República Federativa do Brasil e o Reino do Marrocos sobre o Auxílio Jurídico Mútuo em Matéria Penal.,Marrocos,NA,Brasília,Brasil,13/06/2019,Direito Penal,Tramitação Ministérios/Casa Civil,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29911
Tratado de Extradição entre a República Federativa do Brasil e o Reino do Marrocos.,Marrocos,NA,Brasília ,Brasil,13/06/2019,Extradição,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29910
Memorando de Entendimento Entre o Instituto Rio Branco do Ministério das Relações Exteriores da República Federativa do Brasil e a Academia Marroquina de Estudos Diplomáticos do Ministério dos Negócios Estrangeiros e da Cooperação Internacional do Reino do Marrocos,Marrocos,NA,Brasília,Brasil,13/06/2019,Academias Diplomáticas,Em Vigor,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29909
Acordo-Quadro entre o governo da República Federativa do Brasil e o Governo do Reino de Marrocos sobre cooperação em matéria de defesa.,Marrocos,NA,Brasília,Brasil,13/06/2019,Cooperação; Defesa e Assuntos Militares,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29907
Tratado entre o Governo da República Federativa do Brasil e o Governo do Reino do Marrocos sobre Transferência de Pessoas Condenadas.,Marrocos,NA,Brasília,Brasil,13/06/2019,Direito Penal,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29906
Acordo de Cooperação e Facilitação em Matéria de Investimentos entre a República Federativa do Brasil e o Reino de Marrocos.,Marrocos,NA,Brasília,Brasil,13/06/2019,Investimento; Cooperação,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29908
Convenção entre a República Federativa do Brasil e a República Oriental do Uruguai para Eliminar a Dupla Tributação em Relação aos Tributos sobre a Renda e sobre o Capital e Prevenir a Evasão e a Elisão Fiscais e seu Protocolo,Uruguai,NA,Brasília,Brasil,07/06/2019,"Aduanas, Impostos e Tarifas",Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29894
